,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt
137,1.29e+18,#Agataliikonfuufu: Minisita Nantaba yeegaanye okuwawaabira Kiweewa. https://t.co/QJIAhOIDYy via @YouTube,0,0
138,1.29e+18,#Uganda: Agataliikonfuufu:  Okutumbula ebyâ€™obulimi mu ggwanga. https://t.co/5IVXiOp5EU,0,0
139,1.29e+18,#Uganda: Agataliikonfuufu:  Abaana bana baggyiiridde mu nnyumba. https://t.co/oHBKYWJ867,0,0
140,1.29e+18,#Uganda: Agataliikonfuufu:   Poliisi egumbuludde abawagizi ba People Power. https://t.co/R9Vd5viaUL,0,0
141,1.29e+18,#Uganda: Agataliikonfuufu:    Bannanyini mikutu gyâ€™empuliziganya basisinkanye. https://t.co/iDnoisSPdr,0,0
142,1.29e+18,#Uganda: Agataliikonfuufu:  Okujaguza amatikkira ga Kabaka aga 27. https://t.co/UcY53rTsar,0,0
143,1.29e+18,#Uganda: Agataliikonfuufu:    Abaana babiri bafiiridde mu muliro . https://t.co/trf4potlWh,0,0
144,1.29e+18,#Uganda: Agataliikonfuufu:    Okuwandiisa abanaavuganya mu kamyuufu ka NRM. https://t.co/iNgbVg02GI,0,0
145,1.29e+18,#Uganda: Agataliikonfuufu:     Alipoota ku biteeso nâ€™emirimu gyâ€™ababaka. https://t.co/Ew9amFybmm,0,0
146,1.29e+18,#Uganda: Agataliikonfuufu: Abagambibwa okufumita aba KCCA ebiso mu kkooti.,0,0
147,1.29e+18,#Agataliikonfuufu:    Okuwandiisa abanaavuganya mu kamyuufu ka NRM. https://t.co/yPLWZM6q5K via @YouTube,0,1
148,1.29e+18,#Agataliikonfuufu:  Alipoota ku biteeso n'emirimu gy'ababaka. https://t.co/Hq3nJVLfp0 via @YouTube,0,2
149,1.29e+18,#Agataliikonfuufu: Okuwandiisa abanaavuganya mu kamyuufu ka NRM. https://t.co/yPLWZM6q5K via @YouTube,0,1
150,1.29e+18,"#Agataliikonfuufu: Abaana babiri bafiiridde mu muliro . 

https://t.co/QMBkvVpVv7 via @YouTube",1,2
151,1.29e+18,#Agataliikonfuufu:  Oluyimba lwa Nantaba luzaalidde omuyimbi Kiweewa. https://t.co/L01pSCa0RY via @YouTube,2,2
152,1.29e+18,#Agataliikonfuufu: Uganda efunye omuntu asoose okufa COVID 19. https://t.co/Y9YNa8uZOA via @YouTube,0,0
153,1.29e+18,#Agataliikonfuufu:  Abasubuuzi abakolera ku Akeedi beekalakaasizza. https://t.co/XSALeNMaVg via @YouTube,0,0
154,1.29e+18,#Agataliikonfuufu:  Poliisi ekubye amasasi mu bakozi  ku Ffaamu. https://t.co/dcDf6T5cp1 via @YouTube,0,0
155,1.29e+18,#Agataliikonfuufu: Alipoota ku nkola  y'ababaka efulumye. https://t.co/XFZfkhfeBM via @YouTube,0,1
156,1.29e+18,#Agataliikonfuufu:  Eyafudde COVID 19 aziikiddwa olwaleero. https://t.co/0VogCzLL3G via @YouTube,1,2
157,1.29e+18,"#Agataliikonfuufu: Tutandiise

https://t.co/Gt1N905a4w",0,0
158,1.29e+18,"#Leero mu #Agataliikonfuufu:
-  Uganda efunye omuntu asoose okufa COVID19.
-  Eyafudde COVID19 aziikiiddwa.Abantu bâ€¦ https://t.co/NLnZgmT89E",1,7
159,1.29e+18,#Uganda: Agataliikonfuufu:   Abasomesa beekalakaasizza mu mirembe. https://t.co/F5osb7qnTL,0,0
160,1.29e+18,#Uganda: Agataliikonfuufu:  Kaweefube wâ€™okulwanyisa COVID 19 ku nsalo. https://t.co/4nPHk1QeMN,0,0
161,1.29e+18,#Uganda: Agataliikonfuufu:  Eyadduka ne ssente za Kampuni akwatiddwa. https://t.co/cD3YCfk5q4,0,0
162,1.29e+18,#Uganda: Agataliikonfuufu:   Okulungamya okulima emmwaanyi. https://t.co/CK40oxNEZu,0,0
163,1.29e+18,#Uganda: Agataliikonfuufu:  Kyagulanyi ayanjudde ekibiina ekipya nâ€™akabonero. https://t.co/jITu1ml02a,0,0
164,1.29e+18,#Uganda: Agataliikonfuufu:  Gwebafeera enju alaajanidde abâ€™obuyinza. https://t.co/iPQWOoNqvj,0,0
165,1.29e+18,#Uganda: Agataliikonfuufu:   Faith Were:  Yalamula mu World Cup yâ€™okubaka mu 1979. https://t.co/XExvPTQsrN,0,0
166,1.29e+18,"#Akayisanyo:  Ono agamba abayimbi bonna baweebwe ssente , babalaba kumakubo kutambula naye nga mu nsawo temuli waddâ€¦ https://t.co/4o0zzowtvB",0,0
167,1.29e+18,#Akayisanyo: Omulamwa: Abaana b'abayimbi abagenzi bandirowozeddwaako  ku ssente Gavumenti z'egenda okuwa abayimbi?â€¦ https://t.co/P6OsfopKHj,0,2
168,1.29e+18,"#Akayisanyo:  T.amale eyaliko omu ku Bizonto ayogedde ku banne abaakwatiddwa. 
https://t.co/oioCOdib3r",0,0
169,1.29e+18,"#Akayisanyo: Mesach Ssemakula agamba bwati ku luyimba lwa Nantaba otaba.
https://t.co/oioCOdib3r",0,1
170,1.29e+18,"#Akayisanyo:  Olowooza UCC okusengejja muzic w'abayimbi nga tannafuluma kikola amakulu? Bano bateesa bwe bati , ggwâ€¦ https://t.co/0Q1QeOtwZu",0,4
171,1.29e+18,"#Akayisanyo:  Olowooza UCC okusengejja muzic w'abayimbi nga tannafuluma kikola amakulu? 
https://t.co/bNc5FRLGHC https://t.co/v9aijm1L90",0,2
172,1.29e+18,"#Akayisanyo:  Eddy Kenzo akomyeewo ku butaka mu mizira, Abawagizi be bamusanyukidde n'okumuwerekera. @djbushbabyâ€¦ https://t.co/isl3skPONt",2,6
173,1.29e+18,Bannakibiina ki NRM kumpi 300 olwaleero bebaggyeyo foomu ze bagenda okujjuza bayingire akasunsula ku bifo byâ€™obubakâ€¦ https://t.co/pKgTkyhXpD,0,5
174,1.29e+18,Bannakibiina ki NRM kumpi 300 olwaleero bebaggyeyo foomu ze bagenda okujjuza bayingire akasunsula ku bifo byâ€™obubakâ€¦ https://t.co/k1ktyOT7QH,1,17
175,1.29e+18,#Akayisanyo:  Vinka n'omuziki gwe tuli naye mu nnyumba. Nyumirwa. @djbushbaby @bartlettdaron @Penkunda https://t.co/mQU0h89oW7,0,2
176,1.29e+18,"#Uganda: Akayisanyo kabadde ku People power, Sebagala afungiza ku kifo kyo muloodi https://t.co/oaLFJKhVGQ",0,0
177,1.29e+18,#Uganda: Akayisanyo:    Oyo Buchaman tuba tuteesa nga yesira Njaga nâ€™avaako.- full Figure https://t.co/YmLnHp4bDd,0,0
178,1.29e+18,@ntvuganda Ela bizonto ddala,0,0
179,1.29e+18,@SalongoSeka @HEBobiwine Ebyo byona tusobola okubyogera nga tetukumye mu bantu omuliiro e.g bizonto.,0,1
